policy,condition,seed,return,upright_fraction
random,delay_0_g10,10000,-956.1763157061632,0.055
random,delay_0_g10,10001,-1228.8881246931578,0.0
random,delay_0_g10,10002,-793.3408851395238,0.03
random,delay_0_g10,10003,-1312.3448294104558,0.0
random,delay_0_g10,10004,-1354.6416316854984,0.0
random,delay_0_g10,10005,-1378.8399170746943,0.0
random,delay_0_g10,10006,-1322.2045672521122,0.0
random,delay_0_g10,10007,-1257.1802186373357,0.0
random,delay_0_g10,10008,-861.735177923745,0.0
random,delay_0_g10,10009,-762.8476536687682,0.075
random,delay_0_g10,10010,-1446.4678739846706,0.0
random,delay_0_g10,10011,-907.5506056106664,0.045
random,delay_0_g10,10012,-1384.5906980692148,0.0
random,delay_0_g10,10013,-1140.6682456022245,0.0
random,delay_0_g10,10014,-1350.2369018174118,0.0
random,delay_0_g10,10015,-1019.6345883881505,0.01
sac_0,delay_0_g10,10000,-1387.2224793254354,0.03
sac_0,delay_0_g10,10001,-1374.1227315393076,0.0
sac_0,delay_0_g10,10002,-1425.7137575428444,0.0
sac_0,delay_0_g10,10003,-1411.1163946641004,0.0
sac_0,delay_0_g10,10004,-1265.5239057884758,0.0
sac_0,delay_0_g10,10005,-1247.8006251059899,0.0
sac_0,delay_0_g10,10006,-1416.4367589829799,0.0
sac_0,delay_0_g10,10007,-1185.3863861315056,0.0
sac_0,delay_0_g10,10008,-1415.0896030121494,0.0
sac_0,delay_0_g10,10009,-1391.6347948392374,0.01
sac_0,delay_0_g10,10010,-1430.200849793581,0.0
sac_0,delay_0_g10,10011,-1394.5090236767223,0.015
sac_0,delay_0_g10,10012,-1526.7605533553906,0.0
sac_0,delay_0_g10,10013,-1329.0950094526881,0.0
sac_0,delay_0_g10,10014,-1449.9801997515758,0.0
sac_0,delay_0_g10,10015,-1310.7961899593308,0.015
sac_2000,delay_0_g10,10000,-1081.644444919079,0.04
sac_2000,delay_0_g10,10001,-1236.9915904254833,0.0
sac_2000,delay_0_g10,10002,-1178.418744001715,0.0
sac_2000,delay_0_g10,10003,-1227.1313942279526,0.0
sac_2000,delay_0_g10,10004,-1285.7298261432898,0.0
sac_2000,delay_0_g10,10005,-1270.6687417448888,0.0
sac_2000,delay_0_g10,10006,-1292.9291985139128,0.0
sac_2000,delay_0_g10,10007,-1267.844786516744,0.0
sac_2000,delay_0_g10,10008,-1150.975364788224,0.0
sac_2000,delay_0_g10,10009,-1109.7940035991192,0.02
sac_2000,delay_0_g10,10010,-1309.636116783858,0.0
sac_2000,delay_0_g10,10011,-1078.9842622704177,0.04
sac_2000,delay_0_g10,10012,-1333.1783969431401,0.0
sac_2000,delay_0_g10,10013,-1131.1402259918964,0.0
sac_2000,delay_0_g10,10014,-1293.4088151249284,0.0
sac_2000,delay_0_g10,10015,-980.3867422081697,0.07
sac_10000,delay_0_g10,10000,-0.8807757667403864,1.0
sac_10000,delay_0_g10,10001,-118.42980014172555,0.88
sac_10000,delay_0_g10,10002,-125.37913745989823,0.85
sac_10000,delay_0_g10,10003,-119.2802482376175,0.88
sac_10000,delay_0_g10,10004,-122.39434823185738,0.855
sac_10000,delay_0_g10,10005,-115.90199310768135,0.855
sac_10000,delay_0_g10,10006,-246.3434367090587,0.75
sac_10000,delay_0_g10,10007,-124.01900165206814,0.87
sac_10000,delay_0_g10,10008,-127.39844832505449,0.8
sac_10000,delay_0_g10,10009,-0.973152974062431,1.0
sac_10000,delay_0_g10,10010,-233.05829339722112,0.775
sac_10000,delay_0_g10,10011,-0.8570181527130281,1.0
sac_10000,delay_0_g10,10012,-229.39514288634308,0.795
sac_10000,delay_0_g10,10013,-1.8762946224472896,0.965
sac_10000,delay_0_g10,10014,-252.4046303118681,0.76
sac_10000,delay_0_g10,10015,-0.864493085897632,1.0
random,delay_2_g10,10000,-956.1763157061632,0.055
