policy,condition,n,mean,ci_low,ci_high
random,delay_0,8,0.17720865546661166,0.1072907923298694,0.24996965939955895
zero,delay_0,8,0.263720174657046,0.22990929535001148,0.30323878752381417
teacher,delay_0,8,0.0005962349243660034,0.00045079998772549497,0.0007596175011690769
bc,delay_0,8,0.06866952236802434,0.03945660461779001,0.09964914705505472
bc,delay_2,8,0.09929263639054117,0.07733502692795,0.12217527736848227
more_updates,delay_0,8,0.0670632457679334,0.036447546040350005,0.10064041970411733
more_updates,delay_2,8,0.09905089349822949,0.07641763598427397,0.12259011082927358
more_expert,delay_0,8,0.08469223083622436,0.042779061565170196,0.12474310818252467
more_expert,delay_2,8,0.09376510188749078,0.0653071182040025,0.11865037421559284
dagger,delay_0,8,0.0706250765324059,0.022834016803887986,0.12719721747279672
dagger,delay_2,8,0.14576296779466957,0.09582694316318857,0.1959625474800386
