phase,step,train_normalized_mse,val_action_mse
bc,1,0.8311951160430908,0.017769580706954002
bc,41,0.5892392992973328,0.008978021331131458
bc,81,0.440592885017395,0.00610725162550807
bc,121,0.1719270944595337,0.003923984244465828
bc,161,0.09563756734132767,0.002419790718704462
bc,201,0.07490804046392441,0.00197735452093184
bc,241,0.04933874309062958,0.0016093798913061619
bc,281,0.04796839505434036,0.0012909153010696173
bc,321,0.014022537507116795,0.0010507414117455482
bc,361,0.0361441895365715,0.0009411791106685996
bc,400,0.03444691002368927,0.0009305447456426919
more_updates,1,0.022525319829583168,0.0012878335546702147
more_updates,41,0.02783316560089588,0.0008111888892017305
more_updates,81,0.02951899729669094,0.0007686579483561218
more_updates,121,0.011468756943941116,0.0008085753070190549
more_updates,161,0.025096334517002106,0.00077484967187047
more_updates,201,0.01627928763628006,0.0007633893401362002
more_updates,241,0.014597573317587376,0.0006392330396920443
more_updates,281,0.01876511424779892,0.0007351118256337941
more_updates,321,0.010586738586425781,0.000720878888387233
more_updates,361,0.02376415580511093,0.0007565213018096983
more_updates,400,0.008359161205589771,0.0006915032863616943
more_expert,1,0.061111219227313995,0.0012133776908740401
more_expert,41,0.09563193470239639,0.0008034754428081214
more_expert,81,0.033955711871385574,0.0008309517870657146
more_expert,121,0.026120834052562714,0.0009118460584431887
more_expert,161,0.0374186709523201,0.0007815950084477663
more_expert,201,0.03058379888534546,0.0007808899972587824
more_expert,241,0.020468978211283684,0.0008434493211098015
more_expert,281,0.04846668243408203,0.0006954172276891768
more_expert,321,0.013575486838817596,0.0006523707415908575
more_expert,361,0.04101874679327011,0.0006706732674501836
more_expert,400,0.020977994427084923,0.0006766832084394991
dagger,1,1.6124258041381836,0.000991428503766656
dagger,41,0.6819433569908142,0.003454087767750025
dagger,81,0.18162468075752258,0.003285821992903948
dagger,121,0.13983643054962158,0.003590900916606188
dagger,161,0.20096473395824432,0.003666806500405073
dagger,201,0.12128700315952301,0.004190958570688963
dagger,241,0.13003867864608765,0.004407963715493679
dagger,281,0.1766582578420639,0.0037169232964515686
dagger,321,0.07042011618614197,0.003900835756212473
dagger,361,0.0852176621556282,0.0033711569849401712
dagger,400,0.05149158835411072,0.0036104870960116386
