policy,condition,seed,return,upright_fraction
random,delay_0_g10,10000,-956.1763157061632,0.055
random,delay_0_g10,10001,-1228.8881246931578,0.0
random,delay_0_g10,10002,-793.3408851395238,0.03
ppo,delay_0_g10,10000,-634.025114643666,0.175
ppo,delay_0_g10,10001,-1153.3265123356616,0.0
ppo,delay_0_g10,10002,-969.9839225033271,0.0
random,delay_2_g10,10000,-956.1763157061632,0.055
random,delay_2_g10,10001,-1228.8881246931578,0.0
random,delay_2_g10,10002,-793.3408851395238,0.03
ppo,delay_2_g10,10000,-516.8277073666711,0.33
ppo,delay_2_g10,10001,-1164.251198851751,0.0
ppo,delay_2_g10,10002,-970.0399016272421,0.0
random,delay_0_g12,10000,-957.10035967317,0.045
random,delay_0_g12,10001,-1235.4804054428448,0.0
random,delay_0_g12,10002,-955.9273552991208,0.06
ppo,delay_0_g12,10000,-968.4529971429075,0.035
ppo,delay_0_g12,10001,-1218.022406466339,0.0
ppo,delay_0_g12,10002,-1068.2764555976999,0.0
