policy,condition,seed,return,upright_fraction
random,delay_0_g10,10000,-956.1763157061632,0.055
random,delay_0_g10,10001,-1228.8881246931578,0.0
random,delay_0_g10,10002,-793.3408851395238,0.03
random,delay_0_g10,10003,-1312.3448294104558,0.0
random,delay_0_g10,10004,-1354.6416316854984,0.0
random,delay_0_g10,10005,-1378.8399170746943,0.0
sac,delay_0_g10,10000,-0.8807757667403864,1.0
sac,delay_0_g10,10001,-118.42980014172555,0.88
sac,delay_0_g10,10002,-125.37913745989823,0.85
sac,delay_0_g10,10003,-119.2802482376175,0.88
sac,delay_0_g10,10004,-122.39434823185738,0.855
sac,delay_0_g10,10005,-115.90199310768135,0.855
random,delay_2_g10,10000,-956.1763157061632,0.055
random,delay_2_g10,10001,-1228.8881246931578,0.0
random,delay_2_g10,10002,-793.3408851395238,0.03
random,delay_2_g10,10003,-1312.3448294104558,0.0
random,delay_2_g10,10004,-1354.6416316854984,0.0
random,delay_2_g10,10005,-1378.8399170746943,0.0
sac,delay_2_g10,10000,-4.115968029900444,1.0
sac,delay_2_g10,10001,-121.78438179528371,0.865
sac,delay_2_g10,10002,-129.43083216735005,0.825
sac,delay_2_g10,10003,-122.84075956839253,0.86
sac,delay_2_g10,10004,-129.100218315475,0.805
sac,delay_2_g10,10005,-243.80317131450644,0.695
random,delay_0_g12,10000,-957.10035967317,0.045
random,delay_0_g12,10001,-1235.4804054428448,0.0
random,delay_0_g12,10002,-955.9273552991208,0.06
random,delay_0_g12,10003,-1317.919525788585,0.0
random,delay_0_g12,10004,-1395.6154134969897,0.0
random,delay_0_g12,10005,-1322.421904457126,0.0
sac,delay_0_g12,10000,-1.0843696389610744,1.0
sac,delay_0_g12,10001,-117.194613072722,0.88
sac,delay_0_g12,10002,-124.0991676905615,0.855
sac,delay_0_g12,10003,-118.92253597940936,0.875
sac,delay_0_g12,10004,-233.47413845642112,0.75
sac,delay_0_g12,10005,-114.51744346916672,0.84
