time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef,train/ent_coef_loss
19654,0,200,-938.073334,1,200.0,,,,,,
20025,0,400,-1123.3898005,2,200.0,,,,,,
4419,0,600,-1100.506942,3,200.0,3.104729652404785,5.66260290145874,99,0.001,0.9064027070999146,-0.16519314050674438
2382,0,800,-1256.130917,4,200.0,0.4295596182346344,9.795586585998535,299,0.001,0.7424174547195435,-0.500361442565918
1862,0,1000,-1323.4754773999998,5,200.0,0.4249393343925476,15.471446990966797,499,0.001,0.6092923283576965,-0.8100522756576538
1616,0,1200,-1339.3417825,6,200.0,0.258748859167099,20.939533233642578,699,0.001,0.5024657249450684,-1.0719799995422363
1473,0,1400,-1378.7765321428571,7,200.0,0.20623090863227844,26.855628967285156,899,0.001,0.4170970916748047,-1.2954068183898926
1366,1,1600,-1373.9383675,8,200.0,0.15995186567306519,30.82733154296875,1099,0.001,0.3486359119415283,-1.3632646799087524
1297,1,1800,-1409.3863432222222,9,200.0,0.1872987002134323,40.33953857421875,1299,0.001,0.29442331194877625,-1.485710859298706
1247,1,2000,-1392.2340887,10,200.0,0.17862462997436523,45.71377182006836,1499,0.001,0.25429078936576843,-1.3958673477172852
1211,1,2200,-1377.6364418181818,11,200.0,0.22705498337745667,50.583316802978516,1699,0.001,0.22629095613956451,-1.1545095443725586
1188,2,2400,-1344.8900704999999,12,200.0,0.24694381654262543,54.939205169677734,1899,0.001,0.20779255032539368,-0.5993622541427612
1170,2,2600,-1329.9511475384616,13,200.0,0.47774285078048706,60.45928192138672,2099,0.001,0.19699089229106903,-0.7550843954086304
1155,2,2800,-1281.7332112857143,14,200.0,0.2187299132347107,63.450233459472656,2299,0.001,0.19178487360477448,0.09593579173088074
1138,2,3000,-1214.051956,15,200.0,0.2912653684616089,68.31829833984375,2499,0.001,0.1918541043996811,0.3256531357765198
1123,2,3200,-1138.22710775,16,200.0,0.3793790638446808,60.3719596862793,2699,0.001,0.19295774400234222,0.07454738765954971
1110,3,3400,-1093.608445117647,17,200.0,0.6158468723297119,65.54117584228516,2899,0.001,0.19504928588867188,-0.24397243559360504
1098,3,3600,-1040.2777317777777,18,200.0,0.5835692882537842,65.49147033691406,3099,0.001,0.19617629051208496,0.26638779044151306
1087,3,3800,-992.1353432631578,19,200.0,0.6280661821365356,80.64671325683594,3299,0.001,0.19608822464942932,0.27188199758529663
1078,3,4000,-955.5850950499998,20,200.0,0.8010880947113037,57.961483001708984,3499,0.001,0.19407518208026886,-0.41321438550949097
1070,3,4200,-916.1891830476188,21,200.0,0.7010051608085632,71.64874267578125,3699,0.001,0.19388499855995178,0.13534966111183167
1062,4,4400,-874.5720407727272,22,200.0,0.9748662114143372,68.71426391601562,3899,0.001,0.19244572520256042,-0.1722332239151001
1055,4,4600,-883.2304905652172,23,200.0,1.5973032712936401,69.03271484375,4099,0.001,0.18907597661018372,-0.4114294648170471
1049,4,4800,-856.7914392499998,24,200.0,1.2894401550292969,64.77569580078125,4299,0.001,0.18677720427513123,-0.22754895687103271
1044,4,5000,-822.5473810799999,25,200.0,1.1412123441696167,65.87104797363281,4499,0.001,0.18230871856212616,-0.2292417585849762
1040,4,5200,-795.7494208846152,26,200.0,2.7928762435913086,74.8479995727539,4699,0.001,0.1760154366493225,0.1268427073955536
1036,5,5400,-774.9761998518517,27,200.0,1.9009368419647217,71.05523681640625,4899,0.001,0.16979508101940155,-0.049282222986221313
1034,5,5600,-751.6973748928569,28,200.0,1.6132886409759521,64.09072875976562,5099,0.001,0.1633264124393463,-0.5634861588478088
1032,5,5800,-729.8922931379309,29,200.0,1.8643783330917358,57.08156204223633,5299,0.001,0.15432104468345642,-0.4872131049633026
1031,5,6000,-717.3688737999998,30,200.0,1.7827420234680176,72.1252212524414,5499,0.001,0.1433916687965393,-0.17329415678977966
1026,6,6200,-698.2484486774192,31,200.0,1.9253941774368286,60.486061096191406,5699,0.001,0.1339932382106781,-0.12587377429008484
1022,6,6400,-680.3575556875,32,200.0,1.8602321147918701,69.98991394042969,5899,0.001,0.12816229462623596,-0.8351811766624451
1019,6,6600,-663.5879299090909,33,200.0,1.5013145208358765,76.56665802001953,6099,0.001,0.12008508294820786,-0.17024022340774536
1013,6,6800,-647.7632518529413,34,200.0,2.4104223251342773,72.43984985351562,6299,0.001,0.11437751352787018,-0.12356925755739212
1010,6,7000,-639.8692067714286,35,200.0,4.123565673828125,62.65268325805664,6499,0.001,0.1142180934548378,-0.5413833260536194
1009,7,7200,-625.5271855000001,36,200.0,2.1578688621520996,79.8148193359375,6699,0.001,0.10950043052434921,-0.2501222491264343
1007,7,7400,-614.9117081081082,37,200.0,2.53373384475708,69.07186126708984,6899,0.001,0.1077127605676651,-0.34326764941215515
1006,7,7600,-605.1177267105264,38,200.0,4.150551795959473,56.182838439941406,7099,0.001,0.10370390117168427,-0.7986632585525513
1005,7,7800,-595.3374601025641,39,200.0,2.0314245223999023,66.33562469482422,7299,0.001,0.09653712064027786,-0.04988850653171539
1002,7,8000,-580.52465085,40,200.0,1.9691379070281982,77.64354705810547,7499,0.001,0.09390668570995331,0.37326931953430176
998,8,8200,-569.3456621707317,41,200.0,3.3986334800720215,68.336669921875,7699,0.001,0.09466604143381119,0.06968770921230316
995,8,8400,-555.8455884761904,42,200.0,1.721940279006958,60.7777099609375,7899,0.001,0.09547273069620132,-0.232211634516716
993,8,8600,-548.320630372093,43,200.0,3.2856884002685547,63.248558044433594,8099,0.001,0.09557560086250305,-0.02275269106030464
992,8,8800,-535.9498018181818,44,200.0,1.323395013809204,69.5203857421875,8299,0.001,0.09432055801153183,0.17881134152412415
991,9,9000,-526.8359050222222,45,200.0,1.8086367845535278,73.69889068603516,8499,0.001,0.09315657615661621,-0.11498437076807022
989,9,9200,-522.4251242391304,46,200.0,2.9170126914978027,67.58366394042969,8699,0.001,0.0920218676328659,-0.11974824965000153
988,9,9400,-511.346539680851,47,200.0,2.3284451961517334,59.40156555175781,8899,0.001,0.08984072506427765,-0.04008926451206207
987,9,9600,-503.2352876875,48,200.0,2.4562625885009766,65.00370788574219,9099,0.001,0.08716240525245667,0.17294491827487946
986,9,9800,-497.8409924081633,49,200.0,3.326165199279785,53.219112396240234,9299,0.001,0.08533379435539246,-0.6314195394515991
985,10,10000,-492.43860572,50,200.0,3.2921814918518066,57.71748352050781,9499,0.001,0.0821143388748169,-0.3900296986103058
