episode,horizon,state_mse
2000,1,0.00023127598979044706
2000,5,0.0016347687924280763
2000,10,0.007545940577983856
2000,25,0.5605276226997375
2001,1,7.945358083816245e-05
2001,5,0.0029204993043094873
2001,10,0.032513950020074844
2001,25,0.17007523775100708
2002,1,4.3615378672257066e-05
2002,5,0.0018538021249696612
2002,10,0.011457049287855625
2002,25,0.048316288739442825
2003,1,0.00017310622206423432
2003,5,0.0027048515621572733
2003,10,0.01780794747173786
2003,25,0.07514509558677673
2004,1,0.00010860965267056599
2004,5,0.0020408660639077425
2004,10,0.012935735285282135
2004,25,1.594775676727295
2005,1,9.456385305384174e-05
2005,5,0.0012419224949553609
2005,10,0.006477130111306906
2005,25,0.06102783977985382
2006,1,0.00010515283793210983
2006,5,0.0028722777497023344
2006,10,0.02535545639693737
2006,25,0.09594011306762695
2007,1,0.00016058758774306625
2007,5,0.003278067335486412
2007,10,0.016007790341973305
2007,25,0.07166395336389542
2008,1,7.281539001269266e-05
2008,5,0.0024515653494745493
2008,10,0.014390639960765839
2008,25,0.06364037841558456
2009,1,0.0001506559638073668
2009,5,0.002313111210241914
2009,10,0.0108732795342803
2009,25,0.05919922515749931
