phase,step,train_normalized_mse,val_action_mse
bc,1,1.4783759117126465,0.017778361216187477
bc,201,0.12113220989704132,0.0016689490294083953
bc,401,0.05261947959661484,0.0007268227054737508
bc,601,0.013738672249019146,0.0005621062009595335
bc,801,0.014175444841384888,0.0004087348352186382
bc,1001,0.03797295689582825,0.00042718343320302665
bc,1201,0.012064928188920021,0.00036695023300126195
bc,1401,0.03134898468852043,0.0003646615659818053
bc,1601,0.010806763544678688,0.000377900549210608
bc,1801,0.029553867876529694,0.0003708815202116966
bc,2000,0.04158245399594307,0.00032004585955291986
more_updates,1,0.01607455499470234,0.0010871480917558074
more_updates,201,0.021421052515506744,0.0003268319123890251
more_updates,401,0.032039493322372437,0.0003301984688732773
more_updates,601,0.014096716418862343,0.00031656399369239807
more_updates,801,0.02249782159924507,0.00034386717015877366
more_updates,1001,0.02394934929907322,0.00030597232398577034
more_updates,1201,0.01936657540500164,0.0003279818338342011
more_updates,1401,0.003190843854099512,0.0003077019064221531
more_updates,1601,0.0045280735939741135,0.0002670850954018533
more_updates,1801,0.004425426479429007,0.00025372509844601154
more_updates,2000,0.0038232351653277874,0.0002473606145940721
more_expert,1,0.042993444949388504,0.0007056599715724587
more_expert,201,0.01946859061717987,0.0003051983949262649
more_expert,401,0.08723129332065582,0.00038791244151070714
more_expert,601,0.0062113311141729355,0.00026502888067625463
more_expert,801,0.005851225461810827,0.00027373660122975707
more_expert,1001,0.014285372570157051,0.00023653956304769963
more_expert,1201,0.0101515743881464,0.0002590647782199085
more_expert,1401,0.004221804440021515,0.0002252527337986976
more_expert,1601,0.005716415587812662,0.00021758954972028732
more_expert,1801,0.004143594764173031,0.0002258400054415688
more_expert,2000,0.020572787150740623,0.00021516600099857897
dagger,1,0.33596187829971313,0.000953525013756007
dagger,201,0.05645475536584854,0.0006725694402121007
dagger,401,0.12623673677444458,0.0006861191941425204
dagger,601,0.020518915727734566,0.0005824640393257141
dagger,801,0.02214900031685829,0.0005776085308752954
dagger,1001,0.04073181003332138,0.0005177850252948701
dagger,1201,0.14784567058086395,0.0005452273762784898
dagger,1401,0.011956820264458656,0.000569744675885886
dagger,1601,0.012449930422008038,0.0004998532822355628
dagger,1801,0.04144670069217682,0.00048707349924370646
dagger,2000,0.01918255165219307,0.0004461699281819165
