policy,condition,n,mean,ci_low,ci_high
random,delay_0_g10,16,-1154.8342646664871,-1259.3576086224289,-1040.3746779735025
sac_0,delay_0_g10,16,-1372.5868289325822,-1409.8492955621139,-1329.1097401206778
sac_2000,delay_0_g10,16,-1201.8039158876763,-1247.6698647197547,-1150.7287931564842
sac_10000,delay_0_g10,16,-113.71601344139088,-158.74759928568983,-68.68786405601989
random,delay_2_g10,16,-1154.8342646664871,-1260.5068304207614,-1041.1269894810987
sac_0,delay_2_g10,16,-1372.6329741853797,-1411.3621284017586,-1326.6651634538512
sac_2000,delay_2_g10,16,-1423.9011756594043,-1492.428869703296,-1355.8246813831713
sac_10000,delay_2_g10,16,-126.69887609757896,-173.02861707460332,-81.07111813817849
random,delay_0_g12,16,-1225.2804925593039,-1324.699421930464,-1117.7609570113425
sac_0,delay_0_g12,16,-1273.322167873028,-1339.6561781067385,-1216.3602014701207
sac_2000,delay_0_g12,16,-1288.268987254558,-1327.2417652275865,-1249.3698110070623
sac_10000,delay_0_g12,16,-124.88006418886172,-169.26724987072316,-75.23992984812678
