time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,train/critic_loss,train/ent_coef_loss,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef
200,-938.073334,200.0,0,18382,1,,,,,,
400,-1123.3898005,200.0,0,18439,2,,,,,,
600,-1100.506942,200.0,0,4304,3,3.104729652404785,-0.16519314050674438,5.66260290145874,0.001,99,0.9064027070999146
800,-1256.130917,200.0,0,2338,4,0.4295596182346344,-0.500361442565918,9.795586585998535,0.001,299,0.7424174547195435
1000,-1323.4754773999998,200.0,0,1817,5,0.4249393343925476,-0.8100522756576538,15.471446990966797,0.001,499,0.6092923283576965
1200,-1339.3417825,200.0,0,1582,6,0.258748859167099,-1.0719799995422363,20.939533233642578,0.001,699,0.5024657249450684
1400,-1378.7765321428571,200.0,0,1452,7,0.20623090863227844,-1.2954068183898926,26.855628967285156,0.001,899,0.4170970916748047
1600,-1373.9383675,200.0,1,1368,8,0.15995186567306519,-1.3632646799087524,30.82733154296875,0.001,1099,0.3486359119415283
1800,-1409.3863432222222,200.0,1,1306,9,0.1872987002134323,-1.485710859298706,40.33953857421875,0.001,1299,0.29442331194877625
2000,-1392.2340887,200.0,1,1261,10,0.17862462997436523,-1.3958673477172852,45.71377182006836,0.001,1499,0.25429078936576843
2200,-1377.6364418181818,200.0,0,958,11,0.22705498337745667,-1.1545095443725586,50.583316802978516,0.001,1699,0.22629095613956451
2400,-1344.8900704999999,200.0,0,966,12,0.24694381654262543,-0.5993622541427612,54.939205169677734,0.001,1899,0.20779255032539368
2600,-1329.9511475384616,200.0,0,972,13,0.47774285078048706,-0.7550843954086304,60.45928192138672,0.001,2099,0.19699089229106903
2800,-1281.7332112857143,200.0,0,973,14,0.2187299132347107,0.09593579173088074,63.450233459472656,0.001,2299,0.19178487360477448
3000,-1214.051956,200.0,1,976,15,0.2912653684616089,0.3256531357765198,68.31829833984375,0.001,2499,0.1918541043996811
3200,-1138.22710775,200.0,1,977,16,0.3793790638446808,0.07454738765954971,60.3719596862793,0.001,2699,0.19295774400234222
3400,-1093.608445117647,200.0,1,978,17,0.6158468723297119,-0.24397243559360504,65.54117584228516,0.001,2899,0.19504928588867188
3600,-1040.2777317777777,200.0,1,979,18,0.5835692882537842,0.26638779044151306,65.49147033691406,0.001,3099,0.19617629051208496
3800,-992.1353432631578,200.0,1,980,19,0.6280661821365356,0.27188199758529663,80.64671325683594,0.001,3299,0.19608822464942932
4000,-955.5850950499998,200.0,2,980,20,0.8010880947113037,-0.41321438550949097,57.961483001708984,0.001,3499,0.19407518208026886
4200,-916.1891830476188,200.0,2,980,21,0.7010051608085632,0.13534966111183167,71.64874267578125,0.001,3699,0.19388499855995178
4400,-874.5720407727272,200.0,2,980,22,0.9748662114143372,-0.1722332239151001,68.71426391601562,0.001,3899,0.19244572520256042
4600,-883.2304905652172,200.0,2,980,23,1.5973032712936401,-0.4114294648170471,69.03271484375,0.001,4099,0.18907597661018372
4800,-856.7914392499998,200.0,2,981,24,1.2894401550292969,-0.22754895687103271,64.77569580078125,0.001,4299,0.18677720427513123
5000,-822.5473810799999,200.0,3,980,25,1.1412123441696167,-0.2292417585849762,65.87104797363281,0.001,4499,0.18230871856212616
5200,-795.7494208846152,200.0,3,980,26,2.7928762435913086,0.1268427073955536,74.8479995727539,0.001,4699,0.1760154366493225
5400,-774.9761998518517,200.0,3,981,27,1.9009368419647217,-0.049282222986221313,71.05523681640625,0.001,4899,0.16979508101940155
5600,-751.6973748928569,200.0,3,980,28,1.6132886409759521,-0.5634861588478088,64.09072875976562,0.001,5099,0.1633264124393463
5800,-729.8922931379309,200.0,3,980,29,1.8643783330917358,-0.4872131049633026,57.08156204223633,0.001,5299,0.15432104468345642
6000,-717.3688737999998,200.0,4,979,30,1.7827420234680176,-0.17329415678977966,72.1252212524414,0.001,5499,0.1433916687965393
6200,-698.2484486774192,200.0,4,978,31,1.9253941774368286,-0.12587377429008484,60.486061096191406,0.001,5699,0.1339932382106781
6400,-680.3575556875,200.0,4,976,32,1.8602321147918701,-0.8351811766624451,69.98991394042969,0.001,5899,0.12816229462623596
6600,-663.5879299090909,200.0,4,976,33,1.5013145208358765,-0.17024022340774536,76.56665802001953,0.001,6099,0.12008508294820786
6800,-647.7632518529413,200.0,4,977,34,2.4104223251342773,-0.12356925755739212,72.43984985351562,0.001,6299,0.11437751352787018
7000,-639.8692067714286,200.0,5,977,35,4.123565673828125,-0.5413833260536194,62.65268325805664,0.001,6499,0.1142180934548378
7200,-625.5271855000001,200.0,5,977,36,2.1578688621520996,-0.2501222491264343,79.8148193359375,0.001,6699,0.10950043052434921
7400,-614.9117081081082,200.0,5,978,37,2.53373384475708,-0.34326764941215515,69.07186126708984,0.001,6899,0.1077127605676651
7600,-605.1177267105264,200.0,5,978,38,4.150551795959473,-0.7986632585525513,56.182838439941406,0.001,7099,0.10370390117168427
7800,-595.3374601025641,200.0,5,979,39,2.0314245223999023,-0.04988850653171539,66.33562469482422,0.001,7299,0.09653712064027786
8000,-580.52465085,200.0,6,979,40,1.9691379070281982,0.37326931953430176,77.64354705810547,0.001,7499,0.09390668570995331
8200,-569.3456621707317,200.0,6,979,41,3.3986334800720215,0.06968770921230316,68.336669921875,0.001,7699,0.09466604143381119
8400,-555.8455884761904,200.0,6,979,42,1.721940279006958,-0.232211634516716,60.7777099609375,0.001,7899,0.09547273069620132
8600,-548.320630372093,200.0,6,979,43,3.2856884002685547,-0.02275269106030464,63.248558044433594,0.001,8099,0.09557560086250305
8800,-535.9498018181818,200.0,6,979,44,1.323395013809204,0.17881134152412415,69.5203857421875,0.001,8299,0.09432055801153183
9000,-526.8359050222222,200.0,7,979,45,1.8086367845535278,-0.11498437076807022,73.69889068603516,0.001,8499,0.09315657615661621
9200,-522.4251242391304,200.0,7,979,46,2.9170126914978027,-0.11974824965000153,67.58366394042969,0.001,8699,0.0920218676328659
9400,-511.346539680851,200.0,7,979,47,2.3284451961517334,-0.04008926451206207,59.40156555175781,0.001,8899,0.08984072506427765
9600,-503.2352876875,200.0,7,979,48,2.4562625885009766,0.17294491827487946,65.00370788574219,0.001,9099,0.08716240525245667
9800,-497.8409924081633,200.0,7,978,49,3.326165199279785,-0.6314195394515991,53.219112396240234,0.001,9299,0.08533379435539246
10000,-492.43860572,200.0,8,978,50,3.2921814918518066,-0.3900296986103058,57.71748352050781,0.001,9499,0.0821143388748169
