policy,condition,seed,return,upright_fraction,planning_p50_ms,planning_p95_ms
random,action_repeat_3,10000,-782.3465282814345,0.085,0.001791999693523394,0.004124900033275479
random,action_repeat_3,10001,-1275.680757004946,0.0,0.0010409999049443286,0.0011666999398585176
random,action_repeat_3,10002,-1270.6169303496815,0.0,0.000999999883788405,0.0010837002264452167
random,action_repeat_3,10003,-986.2462691927125,0.0,0.0009590003173798323,0.0010420002126920735
random,action_repeat_3,10004,-1317.1176094335415,0.0,0.000999999883788405,0.0010837000445462763
random,action_repeat_3,10005,-1188.1210469052112,0.0,0.000999999883788405,0.0010829999155248515
random,action_repeat_3,10006,-1507.8328056493078,0.0,0.000999999883788405,0.0010837000445462763
random,action_repeat_3,10007,-1296.3035494087271,0.0,0.001041999894368928,0.001237399965248187
known_mpc,action_repeat_3,10000,-2.20060053027254,1.0,0.7327499997700215,0.7907748999514296
known_mpc,action_repeat_3,10001,-120.69323018678995,0.875,0.7353340001827746,0.7745956999769987
known_mpc,action_repeat_3,10002,-126.63984345439682,0.845,0.7237499999064312,0.7808872999248706
known_mpc,action_repeat_3,10003,-120.88915079663592,0.87,0.7177920001595339,0.7543829002770508
known_mpc,action_repeat_3,10004,-250.50249239230087,0.665,0.7186249999904248,0.7541125998614007
known_mpc,action_repeat_3,10005,-118.86199408009176,0.875,0.7180000002335873,0.7555792002222006
known_mpc,action_repeat_3,10006,-249.72368119695363,0.74,0.7065419999889855,0.7466543000646197
known_mpc,action_repeat_3,10007,-123.74953919393212,0.865,0.7110000001375738,0.7429079999837995
base_mpc,action_repeat_3,10000,-2.0513840042888734,1.0,3.7576670001726598,3.888229400263299
base_mpc,action_repeat_3,10001,-120.11391333791485,0.87,3.6975000002712477,3.773820499827707
base_mpc,action_repeat_3,10002,-126.62940716792626,0.83,3.6823750001531153,3.775366200306962
base_mpc,action_repeat_3,10003,-120.66223081658353,0.87,3.670666000289202,3.7948457001675706
base_mpc,action_repeat_3,10004,-250.41736252433904,0.675,3.6837089996879513,3.754849799815929
base_mpc,action_repeat_3,10005,-118.59701066628519,0.885,3.6784169997190475,3.7927831998331385
base_mpc,action_repeat_3,10006,-250.37207154058584,0.75,3.6845829999947455,3.7385501000244403
base_mpc,action_repeat_3,10007,-124.42961730205101,0.86,3.6890409996885865,3.8157500000124855
more_updates,action_repeat_3,10000,-2.232878377410642,1.0,3.6918329997206456,3.8273376000233834
more_updates,action_repeat_3,10001,-119.98748246763382,0.865,3.6609170001611346,3.7236668998502864
more_updates,action_repeat_3,10002,-126.88476757874749,0.85,3.6698750000141445,3.7394667999251396
more_updates,action_repeat_3,10003,-121.03491181923927,0.885,3.64091700021163,3.7001329999839068
more_updates,action_repeat_3,10004,-250.90229693502027,0.665,3.6532499998429557,3.797054499955266
more_updates,action_repeat_3,10005,-118.76905463759759,0.875,3.663833000246086,3.7128918002963474
more_updates,action_repeat_3,10006,-250.54212460087334,0.755,3.656541000054858,3.7122919000921684
more_updates,action_repeat_3,10007,-124.10357329210103,0.87,3.6461249997046252,3.6880829000892845
more_random,action_repeat_3,10000,-2.516059629913113,1.0,3.7182080000093265,3.8429876000009244
more_random,action_repeat_3,10001,-120.31341489421432,0.88,3.648999999768421,3.7388204999842856
more_random,action_repeat_3,10002,-126.39408954550372,0.85,3.643625000222528,3.733324999802789
more_random,action_repeat_3,10003,-120.62332180971364,0.88,3.6513330001071154,3.740391400151566
more_random,action_repeat_3,10004,-250.75134093899257,0.675,3.654208000170911,3.7317579998671135
more_random,action_repeat_3,10005,-118.79125090019102,0.88,3.6249579998184345,3.682608099825302
more_random,action_repeat_3,10006,-250.57338191718313,0.755,3.6351670000840386,3.7340536998272
more_random,action_repeat_3,10007,-124.37595976854965,0.865,3.6197499998706917,3.664312599948971
planner_data,action_repeat_3,10000,-2.0745042989823568,1.0,3.627582999797596,3.7188624000918935
planner_data,action_repeat_3,10001,-119.55377411436821,0.865,3.628915999797755,3.739454500009742
planner_data,action_repeat_3,10002,-126.2992134258038,0.85,3.6269580000407586,3.6837671001194394
planner_data,action_repeat_3,10003,-121.02465377753447,0.89,3.6642499999288702,3.733766300047136
planner_data,action_repeat_3,10004,-249.75086597352387,0.67,3.620915999817953,3.6727161997532676
planner_data,action_repeat_3,10005,-118.47477163870023,0.875,3.6604169999918668,3.7482250003449735
planner_data,action_repeat_3,10006,-250.29594296195526,0.755,3.659209000034025,3.722637599776135
planner_data,action_repeat_3,10007,-124.24168313390516,0.87,3.6458750000747386,3.733833799878994
